area_sqft,bedrooms,bathrooms,balconies,location,age_years,parking,furnishing,floor,total_floors,distance_city_km,price_lakhs
2752,2,2,3.0,Andheri,20,0.0,Unfurnished,15,28,35.5,10.0
648,1,1,3.0,Thane,9,1.0,Semi-Furnished,8,14,15.4,10.0
1569,3,4,3.0,Bandra,5,1.0,Furnished,0,5,11.2,24.76
1013,2,2,2.0,Andheri,1,1.0,Unfurnished,4,19,24.6,11.02
2911,2,2,1.0,Bandra,26,1.0,Unfurnished,1,22,14.6,15.25
648,3,3,2.0,Pune,0,1.0,Unfurnished,10,10,25.1,10.48
2261,2,2,0.0,Borivali,18,1.0,Unfurnished,15,19,16.7,11.08
3021,1,1,2.0,Thane,25,1.0,Semi-Furnished,8,14,31.9,10.0
3815,2,1,1.0,Pune,10,1.0,Semi-Furnished,4,6,38.2,10.0
1437,5,5,,Nashik,6,2.0,Unfurnished,2,13,11.2,13.54
428,3,3,1.0,Dadar,22,1.0,Unfurnished,14,14,20.6,15.49
3006,2,3,1.0,Navi Mumbai,19,2.0,Semi-Furnished,6,11,29.1,13.22
405,1,1,0.0,Thane,0,2.0,Unfurnished,14,28,6.8,10.42
639,3,3,1.0,Powai,17,1.0,Semi-Furnished,13,13,31.9,15.22
3966,1,1,1.0,Andheri,0,0.0,Furnished,2,20,23.5,10.0
3506,3,4,1.0,Thane,12,0.0,Unfurnished,1,2,6.4,11.01
2947,3,3,1.0,Powai,9,1.0,Semi-Furnished,1,11,34.8,15.96
3408,2,2,1.0,Navi Mumbai,25,0.0,Furnished,11,27,17.4,10.0
671,2,2,1.0,Dadar,30,1.0,Semi-Furnished,7,27,7.5,13.09
720,1,2,2.0,Borivali,21,1.0,Furnished,14,30,8.2,10.0
1483,1,2,0.0,Borivali,22,2.0,Furnished,2,3,31.5,10.84
485,2,1,1.0,Thane,0,1.0,Semi-Furnished,7,27,37.5,10.0
3598,4,5,0.0,Andheri,1,1.0,Semi-Furnished,0,9,15.4,24.22
602,2,1,1.0,Thane,24,1.0,Semi-Furnished,0,2,3.6,10.0
2359,3,2,1.0,Andheri,13,0.0,Semi-Furnished,3,4,4.5,11.34
3473,3,3,2.0,Powai,15,1.0,Semi-Furnished,13,23,26.4,15.32
3046,1,1,1.0,Thane,21,0.0,Semi-Furnished,19,19,15.1,10.0
1245,2,2,1.0,Navi Mumbai,10,,Furnished,16,18,,10.84
2093,2,3,0.0,Worli,21,,Unfurnished,4,27,13.8,26.41
2374,3,4,1.0,Worli,22,1.0,Unfurnished,3,4,18.9,25.46
3165,2,1,1.0,Pune,7,1.0,Unfurnished,0,4,25.9,10.0
1934,3,3,2.0,Pune,21,1.0,Unfurnished,2,29,21.9,10.0
1426,4,4,1.0,Nashik,5,1.0,Semi-Furnished,15,19,7.0,10.96
3264,3,3,2.0,Borivali,9,1.0,Unfurnished,10,24,19.9,14.57
3592,5,5,1.0,Worli,24,1.0,Semi-Furnished,17,17,18.7,34.7
2160,3,3,1.0,Powai,30,0.0,Semi-Furnished,0,6,22.1,10.0
500,4,4,1.0,Worli,2,1.0,Unfurnished,9,17,4.9,38.88
2202,4,4,0.0,Andheri,20,0.0,Unfurnished,9,29,6.6,14.28
3602,3,4,1.0,Navi Mumbai,17,1.0,Semi-Furnished,5,5,21.4,14.5
3961,4,5,2.0,Andheri,18,1.0,Semi-Furnished,4,5,11.4,19.78
1844,4,3,2.0,Borivali,24,0.0,Semi-Furnished,10,12,25.3,10.75
940,3,3,1.0,Nashik,2,1.0,Unfurnished,4,15,15.2,10.0
2460,3,3,0.0,Navi Mumbai,22,0.0,Unfurnished,18,20,9.2,10.01
3391,3,2,2.0,Pune,8,0.0,Unfurnished,5,6,26.4,10.0
3802,4,3,0.0,Bandra,4,0.0,Unfurnished,23,29,16.1,20.79
586,2,3,1.0,Nashik,13,0.0,Furnished,3,6,6.7,10.0
1446,4,5,2.0,Andheri,0,2.0,Unfurnished,7,7,32.4,25.79
2120,3,4,1.0,Bandra,19,2.0,Unfurnished,20,30,17.6,26.92
753,5,5,0.0,Andheri,17,1.0,Furnished,0,12,36.6,17.81
3591,2,2,1.0,Bandra,15,1.0,Semi-Furnished,16,18,8.1,19.17
803,3,4,2.0,Pune,0,1.0,Semi-Furnished,0,14,35.1,10.56
2795,3,3,0.0,Navi Mumbai,23,2.0,Semi-Furnished,6,9,32.7,14.89
3707,4,4,2.0,Thane,1,1.0,Furnished,4,16,4.6,18.99
2867,4,5,1.0,Bandra,8,0.0,Unfurnished,22,24,21.5,22.61
3148,3,3,1.0,Andheri,12,1.0,Unfurnished,2,2,26.3,14.67
1348,3,4,1.0,Pune,21,2.0,Furnished,22,27,20.1,13.28
3379,2,2,2.0,Bandra,12,0.0,Furnished,5,7,15.9,11.08
1907,5,5,1.0,Dadar,25,1.0,Furnished,16,28,37.8,22.69
620,2,2,2.0,Andheri,28,1.0,Unfurnished,25,29,28.2,10.0
1720,3,3,1.0,Thane,23,1.0,Furnished,8,29,38.7,10.0
1659,3,4,0.0,Pune,1,1.0,Unfurnished,11,20,33.9,10.15
2277,2,2,1.0,Pune,23,1.0,Semi-Furnished,8,28,32.8,10.0
1353,2,2,1.0,Bandra,6,2.0,Furnished,3,26,29.2,20.19
2064,2,2,1.0,Andheri,27,,Unfurnished,18,20,26.0,10.23
1941,4,4,2.0,Powai,30,0.0,Unfurnished,13,27,35.5,11.06
1577,3,4,3.0,Bandra,2,1.0,Semi-Furnished,0,11,24.7,22.9
2907,1,1,2.0,Navi Mumbai,3,1.0,Furnished,22,26,3.5,10.0
1500,3,2,1.0,Pune,21,1.0,Unfurnished,27,28,23.5,10.0
3157,2,2,1.0,Thane,4,1.0,Furnished,13,20,4.6,10.97
1303,4,5,2.0,Pune,30,1.0,Unfurnished,1,5,38.0,10.0
3514,2,3,1.0,Worli,16,1.0,Semi-Furnished,7,8,26.0,18.91
1714,2,3,2.0,Powai,17,,Unfurnished,5,6,22.4,10.0
546,1,1,2.0,Thane,26,1.0,Furnished,5,17,8.3,10.0
939,3,3,1.0,Thane,6,0.0,Unfurnished,4,14,20.9,10.0
3303,3,3,3.0,Andheri,17,1.0,Semi-Furnished,25,25,14.0,16.83
3540,3,3,2.0,Pune,30,0.0,Unfurnished,10,10,27.2,10.0
1163,3,2,1.0,Borivali,0,1.0,Furnished,4,6,24.4,13.92
2568,2,2,3.0,Andheri,5,1.0,Furnished,0,19,20.2,11.87
2468,2,2,0.0,Thane,4,1.0,Unfurnished,1,6,10.5,10.76
881,2,2,0.0,Powai,10,1.0,Unfurnished,10,28,21.3,13.89
2027,4,4,1.0,Bandra,4,2.0,Semi-Furnished,2,4,18.7,32.62
2898,2,1,1.0,Pune,5,2.0,Semi-Furnished,14,16,34.1,10.0
3882,5,4,1.0,Dadar,26,0.0,Furnished,25,29,35.8,17.48
3452,2,3,3.0,Andheri,14,1.0,Semi-Furnished,5,18,30.5,11.1
752,1,1,1.0,Bandra,11,0.0,Semi-Furnished,2,25,13.1,10.0
1255,2,3,1.0,Andheri,12,1.0,Semi-Furnished,4,14,2.0,14.17
1972,1,1,2.0,Powai,30,1.0,Semi-Furnished,5,23,37.1,10.0
942,3,3,0.0,Bandra,15,0.0,Unfurnished,20,22,39.7,12.97
2455,3,3,2.0,Andheri,14,0.0,Unfurnished,0,16,5.5,11.94
431,2,2,1.0,Bandra,28,1.0,Unfurnished,4,4,27.6,14.85
808,3,3,3.0,Andheri,1,1.0,Semi-Furnished,20,30,17.3,15.23
570,3,3,2.0,Borivali,14,1.0,Unfurnished,0,3,6.4,14.1
1464,4,5,0.0,Andheri,23,0.0,Semi-Furnished,8,12,39.9,12.77
3144,5,5,0.0,Navi Mumbai,15,1.0,Unfurnished,12,20,37.4,17.53
1038,3,3,0.0,Borivali,26,1.0,Semi-Furnished,0,24,,10.0
3954,4,4,3.0,Powai,27,1.0,Unfurnished,4,17,6.2,21.32
1370,3,3,2.0,Bandra,10,0.0,Semi-Furnished,4,13,19.9,16.83
561,3,2,1.0,Powai,25,1.0,Unfurnished,3,13,35.9,12.29
1608,3,3,1.0,Borivali,7,2.0,Unfurnished,17,30,27.2,16.31
3093,1,1,2.0,Andheri,7,1.0,Unfurnished,7,11,17.7,10.0
784,3,3,1.0,Worli,30,1.0,Semi-Furnished,4,26,20.9,22.35
658,5,4,2.0,Powai,0,1.0,Furnished,0,3,2.0,27.41
3458,1,2,2.0,Thane,10,1.0,Unfurnished,14,21,24.7,10.0
2532,4,5,1.0,Powai,19,1.0,Semi-Furnished,10,21,34.5,19.73
1636,4,4,1.0,Pune,12,0.0,Semi-Furnished,5,21,0.6,11.81
3122,2,3,1.0,Borivali,26,0.0,Semi-Furnished,3,14,,10.0
3440,3,3,1.0,Nashik,7,2.0,Semi-Furnished,0,22,21.0,10.0
1693,4,4,3.0,Thane,17,2.0,Unfurnished,12,14,22.7,16.67
2420,5,5,2.0,Worli,3,1.0,Semi-Furnished,16,19,14.1,37.77
439,2,3,2.0,Thane,6,0.0,Furnished,15,27,1.6,10.0
1502,2,3,1.0,Worli,5,0.0,Furnished,7,21,29.9,13.89
2543,3,3,1.0,Borivali,22,0.0,Unfurnished,5,23,10.1,10.0
1109,2,3,2.0,Andheri,6,2.0,Semi-Furnished,9,30,26.0,16.7
3969,2,2,1.0,Pune,20,1.0,Unfurnished,8,8,22.6,10.0
3897,1,1,0.0,Thane,10,1.0,Semi-Furnished,1,19,17.5,10.0
1327,2,2,1.0,Bandra,17,2.0,Unfurnished,18,21,23.8,21.83
1827,3,3,2.0,Bandra,27,0.0,Unfurnished,7,22,28.0,12.89
1082,3,3,2.0,Thane,26,1.0,Semi-Furnished,1,5,23.1,10.52
2214,3,3,1.0,Bandra,0,0.0,Furnished,20,24,22.5,16.73
846,3,4,2.0,Andheri,24,1.0,Unfurnished,7,7,17.7,15.09
1807,2,2,1.0,Dadar,29,2.0,Semi-Furnished,13,13,17.5,18.21
2399,2,2,1.0,Dadar,20,2.0,Semi-Furnished,6,22,19.9,18.0
2603,1,1,0.0,Dadar,5,0.0,Furnished,5,9,18.4,10.0
2547,2,2,2.0,Thane,20,0.0,Semi-Furnished,1,5,17.8,10.0
1197,2,2,1.0,Powai,19,1.0,Unfurnished,4,21,8.8,13.39
3252,2,2,1.0,Borivali,20,0.0,Unfurnished,4,10,29.1,10.0
2890,1,1,1.0,Andheri,13,1.0,Semi-Furnished,1,25,,10.0
3111,2,2,2.0,Andheri,16,1.0,Unfurnished,4,28,36.4,10.0
2084,3,3,2.0,Dadar,20,,Furnished,7,12,25.2,11.11
3614,3,4,1.0,Andheri,14,0.0,Furnished,16,23,2.4,13.76
1803,4,3,3.0,Navi Mumbai,23,0.0,Furnished,2,8,26.5,10.27
3301,3,3,0.0,Nashik,21,2.0,Unfurnished,16,28,14.8,10.0
1132,3,3,0.0,Bandra,9,1.0,Semi-Furnished,7,9,37.2,21.16
1290,2,1,1.0,Bandra,18,1.0,Semi-Furnished,25,27,37.5,13.0
2296,3,3,2.0,Nashik,23,1.0,Unfurnished,14,24,33.9,10.0
2401,1,1,1.0,Navi Mumbai,15,1.0,Unfurnished,2,11,22.9,10.0
3087,2,2,1.0,Andheri,22,0.0,Unfurnished,18,25,36.8,10.0
1470,2,2,1.0,Powai,3,0.0,Semi-Furnished,3,20,26.2,10.0
3542,2,2,1.0,Powai,11,1.0,Furnished,3,21,35.1,10.78
1587,2,2,2.0,Navi Mumbai,21,1.0,Furnished,4,12,6.8,10.46
2323,3,3,3.0,Borivali,27,0.0,Unfurnished,2,8,36.2,10.0
3755,4,4,1.0,Thane,20,1.0,Semi-Furnished,3,22,26.6,12.8
2342,3,3,2.0,Bandra,20,2.0,Unfurnished,0,3,12.5,26.0
2855,3,4,1.0,Borivali,10,0.0,Unfurnished,12,12,39.9,10.19
3671,3,3,1.0,Thane,21,0.0,Unfurnished,4,6,27.6,10.0
3909,1,1,1.0,Borivali,11,1.0,Semi-Furnished,2,2,36.4,10.0
2198,3,3,3.0,Worli,1,0.0,Semi-Furnished,0,2,0.7,20.64
1901,3,3,1.0,Bandra,7,1.0,Furnished,3,4,22.3,21.93
1109,2,2,2.0,Borivali,18,1.0,Furnished,10,29,28.6,10.0
2335,2,2,0.0,Andheri,29,1.0,Unfurnished,18,24,1.0,12.34
3706,4,4,2.0,Powai,15,1.0,Semi-Furnished,15,30,30.6,19.46
2154,3,3,0.0,Thane,26,1.0,Unfurnished,1,4,26.2,10.56
1654,3,3,3.0,Borivali,24,1.0,Semi-Furnished,8,30,11.4,13.14
786,3,3,2.0,Navi Mumbai,17,0.0,Semi-Furnished,2,19,27.7,10.0
1803,2,2,0.0,Pune,24,1.0,Unfurnished,21,25,5.7,10.0
1252,3,3,2.0,Borivali,12,1.0,Unfurnished,11,26,33.0,12.85
3917,2,2,2.0,Dadar,13,1.0,Unfurnished,7,9,34.7,13.19
2300,2,1,,Navi Mumbai,22,0.0,Unfurnished,19,23,19.7,10.0
893,3,4,1.0,Dadar,19,1.0,Furnished,3,20,20.5,19.29
642,1,1,2.0,Nashik,16,1.0,Unfurnished,4,13,16.4,10.0
3463,3,3,2.0,Pune,13,0.0,Semi-Furnished,2,16,14.1,10.0
3754,2,2,1.0,Navi Mumbai,30,1.0,Furnished,0,8,35.0,10.0
3147,3,3,2.0,Bandra,2,1.0,Semi-Furnished,7,7,12.5,24.88
845,3,3,1.0,Worli,1,1.0,Semi-Furnished,19,28,16.4,27.86
753,3,3,0.0,Navi Mumbai,14,0.0,Furnished,10,23,12.3,10.45
1112,3,3,1.0,Pune,1,1.0,Unfurnished,3,18,26.4,10.0
3104,5,5,0.0,Bandra,10,0.0,Unfurnished,13,22,32.7,22.98
3155,3,4,1.0,Powai,17,2.0,Semi-Furnished,7,13,7.0,23.14
3417,3,4,1.0,Pune,12,1.0,Semi-Furnished,2,9,10.6,11.09
749,3,3,1.0,Borivali,6,0.0,Furnished,0,29,4.6,12.17
951,2,2,1.0,Andheri,8,1.0,Unfurnished,14,30,6.8,14.53
3641,2,2,2.0,Nashik,18,1.0,Semi-Furnished,4,8,16.6,10.0
3744,2,3,1.0,Andheri,29,1.0,Semi-Furnished,20,25,31.1,11.31
3013,2,3,2.0,Andheri,24,1.0,Furnished,5,14,21.9,12.64
781,2,1,1.0,Powai,16,1.0,Unfurnished,2,22,2.6,12.73
647,2,2,1.0,Powai,4,1.0,Unfurnished,5,5,25.2,12.98
600,3,2,1.0,Andheri,7,2.0,Furnished,6,15,31.9,16.75
2891,2,3,2.0,Pune,13,0.0,Semi-Furnished,4,5,16.0,10.0
3446,4,4,0.0,Dadar,7,1.0,Unfurnished,1,25,10.2,25.97
2674,2,2,1.0,Powai,21,1.0,Unfurnished,0,13,30.7,11.18
1343,3,3,2.0,Pune,11,1.0,Furnished,0,9,1.4,12.26
3127,1,1,2.0,Navi Mumbai,25,1.0,Semi-Furnished,18,22,32.7,10.0
612,3,3,2.0,Dadar,8,1.0,Semi-Furnished,7,29,32.3,15.29
3382,1,1,0.0,Dadar,15,1.0,Furnished,9,11,35.6,10.0
3611,3,3,0.0,Worli,22,1.0,Unfurnished,21,22,4.0,24.63
2986,2,2,1.0,Navi Mumbai,6,0.0,Unfurnished,14,21,4.8,10.0
3566,4,4,2.0,Andheri,23,1.0,Semi-Furnished,16,16,35.0,16.72
2510,2,2,1.0,Powai,18,0.0,Furnished,24,25,19.3,10.0
2086,3,4,0.0,Powai,20,0.0,Unfurnished,4,5,16.0,12.71
1561,2,2,,Worli,14,0.0,Semi-Furnished,22,27,23.1,12.58
3719,3,3,1.0,Bandra,28,1.0,Unfurnished,8,13,2.8,22.48
2910,3,3,2.0,Andheri,23,2.0,Unfurnished,0,3,25.9,16.2
1085,2,2,0.0,Dadar,5,1.0,Furnished,3,30,37.8,12.7
3846,2,2,0.0,Bandra,17,0.0,Unfurnished,9,24,27.2,10.0
613,2,2,1.0,Nashik,28,1.0,Unfurnished,12,25,18.8,10.0
2515,2,2,0.0,Pune,8,0.0,Furnished,2,6,38.5,10.0
1086,5,5,1.0,Dadar,16,2.0,Semi-Furnished,2,23,27.7,27.31
2792,2,2,0.0,Powai,23,1.0,Semi-Furnished,11,22,2.7,14.1
1885,1,1,2.0,Pune,8,0.0,Furnished,14,28,27.0,10.0
1974,5,5,2.0,Thane,16,1.0,Unfurnished,12,12,2.9,20.93
2818,1,1,,Borivali,17,1.0,Semi-Furnished,27,28,12.6,10.0
3122,2,2,3.0,Navi Mumbai,5,1.0,Unfurnished,14,22,24.8,10.0
1768,3,3,1.0,Pune,5,0.0,Unfurnished,8,9,9.0,10.0
3992,4,4,0.0,Borivali,17,2.0,Semi-Furnished,2,8,2.0,23.19
2194,3,3,1.0,Powai,5,1.0,Unfurnished,28,28,24.9,18.54
977,3,4,2.0,Pune,29,2.0,Furnished,19,20,11.8,14.37
423,5,5,0.0,Andheri,16,2.0,Furnished,0,5,21.6,26.09
1128,1,1,1.0,Pune,21,0.0,Furnished,4,5,10.8,10.0
2888,5,5,1.0,Pune,12,1.0,Unfurnished,12,26,27.6,14.12
2342,4,4,1.0,Andheri,9,1.0,Unfurnished,1,6,35.9,16.83
1616,4,5,2.0,Andheri,15,1.0,Furnished,3,8,,21.9
2133,2,1,,Borivali,22,0.0,Semi-Furnished,18,19,31.6,10.0
3418,2,3,1.0,Thane,12,0.0,Semi-Furnished,25,27,6.7,10.0
2458,3,3,3.0,Nashik,8,0.0,Furnished,4,11,13.5,10.0
609,3,3,0.0,Andheri,4,2.0,Unfurnished,10,21,14.6,20.21
576,3,4,0.0,Bandra,16,1.0,Unfurnished,11,22,8.6,25.75
2135,4,3,1.0,Dadar,21,1.0,Semi-Furnished,14,19,,22.87
1855,3,3,2.0,Powai,16,2.0,Semi-Furnished,10,21,30.9,18.97
3462,2,2,1.0,Thane,7,0.0,Unfurnished,3,8,,10.0
2499,2,3,0.0,Andheri,7,1.0,Semi-Furnished,19,20,39.9,11.04
3125,2,2,3.0,Andheri,11,0.0,Furnished,1,2,37.4,10.0
2507,2,1,1.0,Navi Mumbai,10,0.0,Semi-Furnished,6,23,17.7,10.0
1643,2,3,1.0,Pune,6,0.0,Unfurnished,8,24,5.8,10.0
2767,4,3,2.0,Thane,29,1.0,Semi-Furnished,8,25,0.9,14.17
2637,3,3,3.0,Bandra,10,1.0,Furnished,1,2,21.5,20.06
2993,3,3,2.0,Pune,7,1.0,Furnished,19,28,34.5,10.38
1081,2,2,3.0,Nashik,18,0.0,Unfurnished,2,14,11.1,10.0
2710,3,4,0.0,Borivali,24,0.0,Furnished,4,4,8.4,11.52
1427,4,4,2.0,Navi Mumbai,14,1.0,Furnished,4,17,17.8,16.82
3245,4,4,2.0,Andheri,20,0.0,Semi-Furnished,2,18,35.8,11.24
3275,3,3,1.0,Thane,2,,Unfurnished,9,13,18.3,13.37
2649,4,4,1.0,Thane,16,2.0,Unfurnished,5,23,29.0,17.05
3809,3,4,3.0,Dadar,2,1.0,Semi-Furnished,13,17,18.8,22.83
2335,3,3,0.0,Powai,4,1.0,Unfurnished,8,8,,19.52
490,4,4,1.0,Powai,18,1.0,Unfurnished,13,19,17.9,20.84
2582,2,2,2.0,Nashik,6,1.0,Furnished,7,9,30.9,10.0
3200,2,2,3.0,Nashik,1,2.0,Unfurnished,2,5,30.3,10.0
764,2,2,3.0,Nashik,5,2.0,Furnished,3,9,17.6,10.0
776,3,3,2.0,Bandra,23,1.0,Semi-Furnished,17,28,11.1,22.91
1383,3,3,0.0,Andheri,18,1.0,Furnished,6,18,6.0,17.27
3440,3,4,3.0,Thane,11,1.0,Unfurnished,10,11,0.6,14.83
2299,2,2,1.0,Navi Mumbai,30,0.0,Semi-Furnished,6,12,5.0,10.0
3916,2,2,2.0,Bandra,11,1.0,Semi-Furnished,13,26,7.0,18.9
3543,4,3,1.0,Powai,27,1.0,Furnished,14,21,27.8,17.58
2397,2,2,2.0,Borivali,10,1.0,Unfurnished,4,24,32.8,10.0
2845,4,4,1.0,Navi Mumbai,0,1.0,Unfurnished,11,19,29.6,14.96
1591,2,2,2.0,Andheri,3,0.0,Furnished,23,30,29.1,10.0
725,3,3,0.0,Thane,8,0.0,Unfurnished,17,21,39.8,10.0
1835,3,4,0.0,Andheri,5,1.0,Semi-Furnished,3,13,38.5,14.81
2532,4,5,1.0,Powai,4,2.0,Unfurnished,0,9,11.1,30.13
1056,2,3,0.0,Navi Mumbai,11,2.0,Unfurnished,0,3,6.2,17.22
1198,4,3,2.0,Dadar,30,1.0,Semi-Furnished,20,24,6.6,20.38
453,3,4,1.0,Thane,6,0.0,Semi-Furnished,7,29,35.9,10.0
3043,3,3,1.0,Pune,7,1.0,Semi-Furnished,1,21,4.5,12.56
3638,3,3,0.0,Pune,30,1.0,Semi-Furnished,10,16,13.9,10.0
3379,1,1,0.0,Dadar,6,1.0,Semi-Furnished,5,5,21.4,10.55
1768,3,3,2.0,Worli,25,1.0,Furnished,4,20,24.7,21.17
2537,2,2,1.0,Andheri,19,0.0,Unfurnished,0,7,24.0,10.0
3859,2,2,1.0,Nashik,28,,Unfurnished,2,20,31.6,10.0
2529,3,3,1.0,Andheri,17,1.0,Unfurnished,1,10,23.1,14.16
1465,3,3,1.0,Powai,18,1.0,Furnished,5,27,34.1,14.74
1619,1,2,2.0,Andheri,7,2.0,Unfurnished,5,29,3.8,14.91
3018,1,1,0.0,Thane,17,1.0,Semi-Furnished,5,8,34.4,10.0
2006,2,2,1.0,Powai,20,2.0,Semi-Furnished,2,11,23.8,15.56
3415,2,2,2.0,Andheri,30,1.0,Semi-Furnished,15,28,9.3,11.06
3511,3,4,1.0,Pune,3,1.0,Furnished,1,2,39.1,10.52
529,2,1,1.0,Pune,4,2.0,Semi-Furnished,11,16,37.6,10.0
3004,4,4,1.0,Andheri,0,2.0,Semi-Furnished,4,6,33.9,23.37
1732,2,1,3.0,Dadar,24,2.0,Unfurnished,8,14,36.5,15.11
2271,1,1,1.0,Powai,2,1.0,Semi-Furnished,2,2,15.6,10.0
1353,4,4,1.0,Powai,28,1.0,Unfurnished,1,6,9.5,19.96
1726,2,2,3.0,Thane,11,0.0,Furnished,7,13,7.7,10.0
1589,2,2,2.0,Navi Mumbai,8,1.0,Semi-Furnished,1,3,35.0,10.0
581,5,5,2.0,Andheri,30,2.0,Unfurnished,13,25,33.2,20.82
3218,4,4,2.0,Andheri,22,1.0,Unfurnished,2,18,39.2,14.94
914,3,2,0.0,Andheri,16,1.0,Semi-Furnished,5,15,34.0,12.54
1753,1,1,2.0,Nashik,27,2.0,Furnished,15,15,25.5,10.0
1095,3,3,2.0,Powai,23,2.0,Unfurnished,21,26,6.1,23.86
978,5,5,1.0,Worli,19,2.0,Unfurnished,11,26,7.0,42.13
1744,4,3,1.0,Navi Mumbai,9,1.0,Semi-Furnished,0,3,19.2,15.37
3708,2,2,0.0,Navi Mumbai,30,1.0,Furnished,14,21,30.8,10.0
3799,2,2,3.0,Navi Mumbai,22,2.0,Furnished,4,15,7.3,13.34
1774,2,1,0.0,Navi Mumbai,29,0.0,Unfurnished,8,24,36.7,10.0
2219,2,2,1.0,Pune,29,,Semi-Furnished,2,24,,10.0
3949,3,3,2.0,Andheri,17,2.0,Furnished,6,22,12.8,20.0
1245,2,2,2.0,Andheri,11,1.0,Furnished,4,21,,10.0
3801,2,2,0.0,Nashik,29,,Semi-Furnished,0,8,24.1,10.0
780,1,1,2.0,Pune,30,0.0,Semi-Furnished,15,26,29.5,10.0
1213,3,3,1.0,Nashik,3,1.0,Semi-Furnished,22,22,15.7,10.0
1618,2,2,2.0,Andheri,19,2.0,Unfurnished,1,9,16.0,15.13
533,2,2,0.0,Navi Mumbai,18,1.0,Unfurnished,0,8,1.0,11.11
3337,2,2,0.0,Andheri,23,1.0,Semi-Furnished,1,16,21.7,11.11
3480,5,5,2.0,Thane,30,1.0,Unfurnished,6,11,30.6,16.02
1780,2,1,0.0,Bandra,7,2.0,Semi-Furnished,18,21,38.8,19.15
3411,3,3,1.0,Andheri,30,2.0,Furnished,4,13,35.7,14.87
3181,2,3,0.0,Powai,19,1.0,Furnished,0,6,3.9,15.03
3285,1,2,2.0,Thane,2,1.0,Unfurnished,1,13,39.2,10.0
3290,2,2,2.0,Borivali,15,0.0,Unfurnished,15,25,6.4,10.0
2465,1,1,2.0,Pune,4,1.0,Semi-Furnished,9,26,2.1,10.0
799,2,2,3.0,Pune,29,0.0,Semi-Furnished,4,11,30.1,10.0
3725,3,3,3.0,Navi Mumbai,23,1.0,Unfurnished,6,25,36.3,11.23
2591,3,3,1.0,Andheri,28,,Furnished,4,4,38.0,12.0
3645,1,1,1.0,Nashik,18,1.0,Unfurnished,11,30,33.1,10.0
3853,2,2,2.0,Worli,12,0.0,Unfurnished,17,24,8.6,14.23
1073,3,4,3.0,Dadar,13,0.0,Semi-Furnished,2,3,6.6,15.13
1848,2,2,3.0,Pune,29,0.0,Semi-Furnished,1,22,2.8,10.0
1093,2,2,2.0,Andheri,4,1.0,Semi-Furnished,4,16,23.5,12.13
583,1,1,1.0,Powai,27,0.0,Semi-Furnished,25,27,19.7,10.0
3880,2,1,3.0,Thane,13,0.0,Furnished,7,8,4.8,10.0
3724,3,3,3.0,Bandra,18,2.0,Unfurnished,11,27,18.9,28.8
3755,5,5,2.0,Thane,20,0.0,Semi-Furnished,4,27,22.9,12.88
3582,5,5,2.0,Worli,2,2.0,Unfurnished,3,10,29.1,40.15
2736,5,5,1.0,Borivali,4,1.0,Semi-Furnished,14,14,16.9,22.56
2280,2,2,3.0,Dadar,4,1.0,Semi-Furnished,14,20,13.1,15.25
3970,1,2,0.0,Worli,24,1.0,Semi-Furnished,0,8,26.8,11.98
2388,2,3,2.0,Andheri,2,0.0,Unfurnished,22,30,27.5,10.0
2713,2,2,0.0,Powai,18,1.0,Furnished,1,7,11.2,12.75
1162,1,1,1.0,Pune,3,1.0,Semi-Furnished,3,9,1.3,10.0
3088,1,1,0.0,Borivali,23,1.0,Furnished,8,16,37.9,10.0
3350,3,4,1.0,Bandra,30,1.0,Semi-Furnished,5,15,30.3,20.36
2843,2,3,1.0,Nashik,12,1.0,Furnished,2,3,8.4,10.0
2195,2,3,3.0,Thane,6,2.0,Semi-Furnished,4,28,22.8,12.62
1112,3,3,1.0,Bandra,13,1.0,Semi-Furnished,7,8,24.0,19.52
521,2,2,2.0,Pune,21,0.0,Semi-Furnished,2,4,5.5,10.0
2658,4,4,1.0,Andheri,22,2.0,Furnished,5,17,8.1,24.74
2859,2,2,0.0,Andheri,19,2.0,Semi-Furnished,27,28,38.3,13.24
3182,3,2,2.0,Borivali,18,1.0,Semi-Furnished,1,2,20.6,13.51
3822,2,2,2.0,Pune,19,0.0,Semi-Furnished,7,16,8.1,10.0
2190,3,3,1.0,Powai,6,1.0,Semi-Furnished,0,28,32.0,14.45
3385,2,3,2.0,Thane,6,1.0,Semi-Furnished,27,27,,10.43
2979,2,2,2.0,Dadar,28,1.0,Furnished,5,6,25.7,12.31
1398,3,4,1.0,Pune,17,2.0,Semi-Furnished,3,20,12.3,13.68
3443,2,2,3.0,Borivali,26,1.0,Semi-Furnished,25,26,2.8,11.53
592,2,2,2.0,Borivali,19,2.0,Semi-Furnished,17,21,7.0,16.19
2556,4,3,2.0,Pune,14,1.0,Furnished,9,21,38.9,10.0
3786,1,1,1.0,Nashik,17,0.0,Unfurnished,23,24,25.1,10.0
2772,3,3,0.0,Thane,21,2.0,Unfurnished,8,15,33.3,13.94
3774,3,2,1.0,Andheri,5,1.0,Unfurnished,2,3,1.4,17.91
602,2,2,2.0,Borivali,14,1.0,Semi-Furnished,3,20,30.7,10.0
2317,3,4,2.0,Powai,22,1.0,Semi-Furnished,2,20,19.7,16.06
3210,1,1,1.0,Bandra,2,0.0,Semi-Furnished,14,26,26.8,10.0
